Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11436  ,1.972e+02   ,121.76  ,18  ,200.37
11437  ,1.970e+02   ,131.41  ,18  ,200.37
11438  ,1.968e+02   ,141.29  ,18  ,200.39
11439  ,1.966e+02   ,151.24  ,18  ,200.39
11440  ,1.966e+02   ,161.19  ,18  ,200.39
11441  ,1.967e+02   ,171.07  ,18  ,200.34
11442  ,1.968e+02   ,180.6  ,18  ,200.36
11443  ,1.968e+02   ,190.06  ,18  ,200.35
11444  ,1.966e+02   ,199.81  ,18  ,200.36
11445  ,1.965e+02   ,209.72  ,18  ,200.39
11446  ,1.965e+02   ,219.66  ,18  ,200.39
11447  ,1.966e+02   ,229.53  ,18  ,200.38
11448  ,1.965e+02   ,248.58  ,18  ,200.35
11449  ,1.966e+02   ,239.13  ,18  ,200.36
11450  ,1.963e+02   ,258.34  ,18  ,200.36
11451  ,1.961e+02   ,268.25  ,18  ,200.39
11452  ,1.960e+02   ,297.73  ,18  ,200.37
11453  ,1.960e+02   ,288.08  ,18  ,200.38
11454  ,1.958e+02   ,307.13  ,18  ,200.35
11455  ,1.955e+02   ,316.89  ,18  ,200.35
11456  ,1.951e+02   ,336.76  ,18  ,200.39
11457  ,1.953e+02   ,326.81  ,18  ,200.39
11458  ,1.950e+02   ,346.66  ,18  ,200.36
11459  ,1.949e+02   ,356.36  ,18  ,200.37
11460  ,1.947e+02   ,365.7  ,18  ,200.35
11461  ,1.943e+02   ,375.46  ,18  ,200.35
11462  ,1.937e+02   ,395.34  ,18  ,200.39
11463  ,1.940e+02   ,385.39  ,18  ,200.39
11464  ,1.936e+02   ,405.26  ,18  ,200.35
11465  ,1.934e+02   ,415.03  ,18  ,200.37
11466  ,1.931e+02   ,424.86  ,18  ,199.88
11467  ,1.926e+02   ,435.24  ,18  ,200.23
11468  ,1.965e+02   ,-217.38  ,18  ,-200.3
11469  ,1.965e+02   ,-207.33  ,18  ,-200.3
11470  ,1.960e+02   ,-276.49  ,18  ,-200.3
11471  ,1.965e+02   ,-227.36  ,18  ,-200.41
11472  ,1.966e+02   ,236.65  ,18  ,-200.38
